Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
facebookresearch MLGym,MLGym A New Framework and Benchmark for Advancing AI Research Agents,"['Python', 'Shell', 'Dockerfile']",56,576,57,3,10,0,https://github.com/facebookresearch/MLGym
ScalaConsultants Aspect-Based-Sentiment-Analysis,💭 Aspect-Based-Sentiment-Analysis: Transformer & Explainable ML (TensorFlow),['Python'],91,576,227,4,8,0,https://github.com/ScalaConsultants/Aspect-Based-Sentiment-Analysis
vincentarelbundock marginaleffects,"R package to compute and plot predictions, slopes, marginal means, and comparisons (contrasts, risk ratios, odds, etc.) for over 100 classes of statistical and ML models. Conduct linear and non-linear hypothesis tests, or equivalence tests. Calculate uncertainty estimates using the delta method, bootstrapping, or simulation-based inference","['R', 'Other']",57,573,4334,5,30,21,https://github.com/vincentarelbundock/marginaleffects
AIxBlock-2023 awesome-ai-dev-platform-opensource,An On-Chain Open-Source Platform for Rapid AI Model Productization Using Decentralized Resources with Flexibility and Scalability,"['TypeScript', 'JavaScript', 'SCSS', 'HTML', 'Stylus', 'CSS']",177,573,179,100,9,0,https://github.com/AIxBlock-2023/awesome-ai-dev-platform-opensource
swook GazeML,"Gaze Estimation using Deep Learning, a Tensorflow-based framework.","['Python', 'Shell']",147,571,18,2,0,0,https://github.com/swook/GazeML
apple ml-matrix3d,[CVPR 2025 Highlight] Matrix3D: Large Photogrammetry Model All-in-One,"['Python', 'Shell']",31,570,5,0,3,0,https://github.com/apple/ml-matrix3d
eriklindernoren NapkinML,"A tiny lib with pocket-sized implementations of machine learning models in NumPy, most of which will fit in a tweet.",['Python'],68,569,55,1,3,0,https://github.com/eriklindernoren/NapkinML
insitro redun,Yet another redundant workflow engine,"['Python', 'Other']",54,568,450,5,40,0,https://github.com/insitro/redun
GoogleCloudPlatform vertex-ai-samples,"Notebooks, code samples, sample apps, and other resources that demonstrate how to use, develop and manage machine learning and generative AI workflows using Google Cloud Vertex AI.","['Jupyter Notebook', 'Python', 'Other']",210,568,4114,82,215,0,https://github.com/GoogleCloudPlatform/vertex-ai-samples
cafferychen777 mLLMCelltype,🏆 #1 Multi-LLM consensus framework | 550+ stars | 95% accuracy | 10+ LLM providers | Leading cell annotation tool,"['Python', 'R', 'CSS', 'Jupyter Notebook', 'JavaScript', 'Shell', 'HTML']",49,567,382,0,2,5,https://github.com/cafferychen777/mLLMCelltype
P2333 Papers-of-Robust-ML,Related papers for robust machine learning,[],54,567,134,0,6,0,https://github.com/P2333/Papers-of-Robust-ML
yassouali ML-paper-notes,"📓 Notes and summaries of various ML, Computer Vision & NLP papers.",[],79,563,59,0,0,0,https://github.com/yassouali/ML-paper-notes
zehome MLVPN,Multi-link VPN (ADSL/SDSL/xDSL/Network aggregation / bonding),"['C', 'M4', 'Shell', 'Other']",137,558,601,3,17,6,https://github.com/zehome/MLVPN
ayush714 ML001-Project-Sources-Code-and-Learning-Materials,ML001 Sources Code and Learning Materials,"['Jupyter Notebook', 'HTML']",273,555,20,0,2,0,https://github.com/ayush714/ML001-Project-Sources-Code-and-Learning-Materials
datacamp course-resources-ml-with-experts-budgets,Further student resources for DrivenData's 'Machine Learning with the Experts: School Budgets' DataCamp course.,"['Jupyter Notebook', 'Python']",627,555,7,0,2,0,https://github.com/datacamp/course-resources-ml-with-experts-budgets
mozilla bugbug,Platform for Machine Learning projects on Software Engineering,"['Python', 'JavaScript', 'HTML', 'Other']",319,555,6656,55,116,0,https://github.com/mozilla/bugbug
typedb typedb-ml,TypeDB-ML is the Machine Learning integrations library for TypeDB,"['Python', 'Starlark']",92,552,508,0,9,8,https://github.com/typedb/typedb-ml
probabl-ai skore,"𝗢𝘄𝗻 𝗬𝗼𝘂𝗿 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲. Skore's open-source Python library accelerates ML model development with automated evaluation reports, smart methodological guidance, and comprehensive cross-validation analysis.","['Python', 'Other']",102,552,1093,26,49,53,https://github.com/probabl-ai/skore
gutouyu ML_CIA,公众号: 机器学习荐货情报局 所有代码,"['Python', 'C++', 'Other']",294,550,74,0,0,0,https://github.com/gutouyu/ML_CIA
aws-samples aws-ml-enablement-workshop,組織横断的にチームを組成し、機械学習による成長サイクルを実現する計画を立てるワークショップ,"['Jupyter Notebook', 'TypeScript', 'Other']",62,549,156,11,14,7,https://github.com/aws-samples/aws-ml-enablement-workshop
Western-OC2-Lab Intrusion-Detection-System-Using-Machine-Learning,"Code for IDS-ML: intrusion detection system development using machine learning algorithms (Decision tree, random forest, extra trees, XGBoost, stacking, k-means, Bayesian optimization..)",['Jupyter Notebook'],148,546,51,0,0,0,https://github.com/Western-OC2-Lab/Intrusion-Detection-System-Using-Machine-Learning
SamBelkacem AI-ML-cheatsheets,Cheatsheets for AI and Machine Learning,[],177,545,142,0,0,0,https://github.com/SamBelkacem/AI-ML-cheatsheets
scruel Notes-ML-AndrewNg,Coursera吴恩达机器学习课程笔记及资源整理,['MATLAB'],157,544,86,0,2,0,https://github.com/scruel/Notes-ML-AndrewNg
AutoViML Auto_ViML,Automatically Build Multiple ML Models with a Single Line of Code. Created by Ram Seshadri. Collaborators Welcome. Permission Granted upon Request.,"['Python', 'Jupyter Notebook']",104,544,335,0,7,0,https://github.com/AutoViML/Auto_ViML
jchao01 TradingView-data-scraper,Extract price and indicator data from TradingView charts to create ML datasets,['Python'],122,543,30,6,4,1,https://github.com/jchao01/TradingView-data-scraper
panzarino mlbgame,A Python API to retrieve and read MLB GameDay data,['Python'],112,542,564,2,13,25,https://github.com/panzarino/mlbgame
mrthinger wow-voiceover,ml world of warcraft voiceover addon,"['Lua', 'Python']",56,541,281,1,6,15,https://github.com/mrthinger/wow-voiceover
cedrickchee awesome-ml-model-compression,"Awesome machine learning model compression research papers, quantization, tools, and learning material.",[],60,541,41,2,5,0,https://github.com/cedrickchee/awesome-ml-model-compression
boyu-ai Hands-on-ML,https://hml.boyuai.com,['Jupyter Notebook'],174,540,2,0,0,0,https://github.com/boyu-ai/Hands-on-ML
junfanz1 Software-Engineer-Coding-Interviews,"Data Structure Algorithms, (GenAI/ML) System Design, Machine Learning, DevOps coding interview practices",[],142,540,164,0,2,0,https://github.com/junfanz1/Software-Engineer-Coding-Interviews
a7medev react-native-ml-kit,React Native On-Device Machine Learning w/ Google ML Kit,"['Java', 'Objective-C', 'TypeScript', 'Ruby', 'JavaScript', 'Starlark', 'Objective-C++']",84,538,227,4,10,0,https://github.com/a7medev/react-native-ml-kit
theainerd MLInterview,A curated awesome list of AI Startups in India & Machine Learning Interview Guide. Feel free to contribute!,[],172,537,199,1,2,0,https://github.com/theainerd/MLInterview
google CFU-Playground,"Want a faster ML processor? Do it yourself! -- A framework for playing with custom opcodes to accelerate TensorFlow Lite for Microcontrollers (TFLM). . . . . . Online tutorial: https://google.github.io/CFU-Playground/ For reference docs, see the link below.","['Verilog', 'C++', 'Python', 'C', 'Makefile', 'Jupyter Notebook', 'Other']",149,537,2126,17,23,0,https://github.com/google/CFU-Playground
Paulescu kubernetes-for-ml-engineers,Just enough Kubernetes for you to fly,"['Makefile', 'Dockerfile', 'Python']",104,535,11,1,2,0,https://github.com/Paulescu/kubernetes-for-ml-engineers
Xilinx mlir-aie,An MLIR-based toolchain for AMD AI Engine-enabled devices.,"['MLIR', 'C++', 'Python', 'CMake', 'Makefile', 'Tcl', 'Other']",162,534,2438,51,74,14,https://github.com/Xilinx/mlir-aie
jacopotagliabue MLSys-NYU-2022,"Slides, scripts and materials for the Machine Learning in Finance Course at NYU Tandon, 2022","['Jupyter Notebook', 'Other']",62,533,65,0,4,0,https://github.com/jacopotagliabue/MLSys-NYU-2022
bradleyboyuyang ML-HFT,High frequency trading (HFT) framework built for futures using machine learning and deep learning techniques,['Jupyter Notebook'],127,531,63,0,0,0,https://github.com/bradleyboyuyang/ML-HFT
shreyashankar create-ml-app,Template Makefile for ML projects in Python.,"['Python', 'Makefile']",46,525,13,0,2,0,https://github.com/shreyashankar/create-ml-app
mgechev guess-next,🔮 Demo application showing the integration of Guess.js with Next.js,"['JavaScript', 'CSS']",8,525,37,14,2,0,https://github.com/mgechev/guess-next
polyaxon traceml,"Engine for ML/Data tracking, visualization, explainability, drift detection, and dashboards for Polyaxon.",['Python'],45,523,9977,0,28,0,https://github.com/polyaxon/traceml
