Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
microsoft DirectML,"⚠️DirectML is in maintenance mode ⚠️ DirectML is a high-performance, hardware-accelerated DirectX 12 library for machine learning. DirectML provides GPU acceleration for common machine learning tasks across a broad range of supported hardware and drivers, including all DirectX 12-capable GPUs from vendors such as AMD, Intel, NVIDIA, and Qualcomm.","['C++', 'Python', 'C', 'CMake', 'PowerShell', 'Shell']",326,2538,215,4,46,0,https://github.com/microsoft/DirectML
michaelgutmann ml-pen-and-paper-exercises,Pen and paper exercises in machine learning,"['TeX', 'Other']",208,2523,27,3,8,0,https://github.com/michaelgutmann/ml-pen-and-paper-exercises
FeatureBaseDB featurebase,"A crazy fast analytical database, built on bitmaps. Perfect for ML applications. Learn more at: http://docs.featurebase.com/. Start a Docker instance: https://hub.docker.com/r/featurebasedb/featurebase","['Go', 'TypeScript', 'JavaScript', 'Shell', 'Makefile', 'SCSS', 'Other']",232,2523,5576,2,52,39,https://github.com/FeatureBaseDB/featurebase
lukas ml-class,Machine learning lessons and teaching projects designed for engineers,"['Jupyter Notebook', 'Python', 'Other']",1180,2511,643,6,14,0,https://github.com/lukas/ml-class
virginiakm1988 ML2022-Spring,**Official** 李宏毅 (Hung-yi Lee) 機器學習 Machine Learning 2022 Spring,['Jupyter Notebook'],551,2505,61,1,15,0,https://github.com/virginiakm1988/ML2022-Spring
jiqizhixin ML-Tutorial-Experiment,Coding the Machine Learning Tutorial for Learning to Learn,"['Jupyter Notebook', 'Python']",728,2504,71,0,3,0,https://github.com/jiqizhixin/ML-Tutorial-Experiment
mlua-rs mlua,High level Lua 5.4/5.3/5.2/5.1 (including LuaJIT) and Luau bindings to Rust with async/await support,"['Rust', 'Other']",187,2476,1791,7,42,20,https://github.com/mlua-rs/mlua
paulpierre RasaGPT,"💬 RasaGPT is the first headless LLM chatbot platform built on top of Rasa and Langchain. Built w/ Rasa, FastAPI, Langchain, LlamaIndex, SQLModel, pgvector, ngrok, telegram","['Python', 'Makefile', 'Shell', 'Dockerfile']",254,2452,30,3,6,0,https://github.com/paulpierre/RasaGPT
GoogleCloudPlatform asl-ml-immersion,This repos contains notebooks for the Advanced Solutions Lab: ML Immersion,"['Jupyter Notebook', 'Python', 'Shell', 'HTML', 'Dockerfile', 'Makefile']",1419,2451,2068,18,20,4,https://github.com/GoogleCloudPlatform/asl-ml-immersion
DorsaRoh Machine-Learning,ML from scratch,"['Jupyter Notebook', 'Python']",200,2430,107,2,0,0,https://github.com/DorsaRoh/Machine-Learning
mfrdixon ML_Finance_Codes,Machine Learning in Finance: From Theory to Practice Book,"['Jupyter Notebook', 'Other']",625,2429,249,0,3,0,https://github.com/mfrdixon/ML_Finance_Codes
DarLiner Algorithm_Interview_Notes-Chinese,2018/2019/校招/春招/秋招/自然语言处理(NLP)/深度学习(Deep Learning)/机器学习(Machine Learning)/C/C++/Python/面试笔记，此外，还包括创建者看到的所有机器学习/深度学习面经中的问题。 除了其中 DL/ML 相关的，其他与算法岗相关的计算机知识也会记录。 但是不会包括如前端/测试/JAVA/Android等岗位中有关的问题。,"['Python', 'Jupyter Notebook', 'C++']",518,2402,505,0,7,0,https://github.com/DarLiner/Algorithm_Interview_Notes-Chinese
